hotel,reservar,reservo,reservas,reserva,reservamos,reserváis,reservan
hotel,registrar,registro,registras,registra,registramos,registráis,registran
hotel,mostrar,muestro,muestras,muestra,mostramos,mostráis,muestran
hotel,dormir,duermo,duermes,duerme,dormimos,dormís,duermen
hotel,querer,quiero,quieres,quiere,queremos,queréis,quieren
hotel,necesitar,necesito,necesitas,necesita,necesitamos,necesitáis,necesitan
hotel,pedir,pido,pides,pide,pedimos,pedís,piden
hotel,pagar,pago,pagas,paga,pagamos,pagáis,pagan
hotel,llamar,llamo,llamas,llama,llamamos,llamáis,llaman
hotel,salir,salgo,sales,sale,salimos,salís,salen
